 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATH","095","Calculus Preparation","93588","OL1","ONL","C","30","20","TBA","","       ","ONLINE","COURSE","Rosebush, Joan Marie","1"
"MATH","095","Ess of Math for Public Comm","94998","Z1","IS","C","1","1","TBA","","       ","","","Rosebush, Joan Marie","3"
"MATH","121","Calculus III","90770","A","LEC","M","32","28","09:35","10:25","M  W  F   ","VOTEY","205","Rogers, Thomas Eugene","4"
"MATH","121","Calculus III","90771","B","LEC","M","32","31","10:40","11:30","M  W  F   ","TERRIL","108","Dummit, David Steven","4"
"MATH","121","Calculus III","90772","C","LEC","M","32","20","11:45","12:35","M  W  F   ","PERKIN","102","Lakoba, Taras ","4"
"MATH","121","Calculus III","90773","D","LEC","M","32","31","11:45","12:35","M  W  F   ","VOTEY","205","Rogers, Thomas Eugene","4"
"MATH","121","Calculus III","90774","E","LEC","M","32","34","13:00","14:15","   R    ","PERKIN","102","Lawlor, John Charles","4"
"MATH","121","Calculus III","91489","F","LEC","M","32","32","15:00","15:50","M  W  F   ","PERKIN","102","Lawlor, John Charles","4"
"MATH","121","Calculus III","94867","G","LEC","M","28","27","10:40","11:30","M  W  F   ","VOTEY","205","Kost, Larry Lyle","4"
"MATH","121","Calculus III","92009","Z1","LEC","C","30","19","16:05","18:00","M  W     ","PERKIN","102","Rogers, Thomas Eugene","4"
"MATH","121","Calculus III","94939","ZRG","LEC","C","1","1","10:40","11:30","M  W  F   ","VOTEY","205","Kost, Larry Lyle","4"
"MATH","124","Linear Algebra","90775","A","LEC","M","35","35","13:55","14:45","M  W  F   ","KALKIN","002","Dummit, David Steven","3"
"MATH","124","Linear Algebra","90776","B","LEC","M","35","30","15:00","15:50","M  W  F   ","KALKIN","001","Lakoba, Taras ","3"
"MATH","124","Linear Algebra","91586","C","LEC","M","36","34","16:00","17:15"," T  R    ","TORREY","203","Golden, Kenneth Ivan","3"
"MATH","124","Linear Algebra","91038","Z1","LEC","C","23","22","16:05","17:20","M  W     ","PERKIN","200","Cox, Mary Annette","3"
