 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
PHIL,004,Intro to Philosophy: Ethics,91552,C,LEC,M,35,34,11:30,12:45, T  R    ,VOTEY,367,Arthur,Kuflik,3
PHIL,004,Intro to Philosophy: Ethics,91553,D,LEC,M,30,29,14:30,15:45, T  R    ,70S WL,109,Arthur,Kuflik,3
PHIL,095,Ethics of Eating,93977,A,LEC,M,175,169,11:30,12:45, T  R    ,ANGELL,B106,Tyler,Doggett,3
PHIL,095,TAP: Skptcsm Moral/Theological,93978,B,LEC,M,21,21,11:30,12:45, T  R    ,70S WL,109,Don,Loeb,3
PHIL,095,Ethics of Eating,94056,Z1,LEC,C,5,5,11:30,12:45, T  R    ,ANGELL,B106,Tyler,Doggett,3
PHIL,101,History of Ancient Philosophy,91720,A,LEC,M,60,59,13:55,14:45,M  W  F   ,WATERM,427,William,Mann,3
PHIL,102,History of Modern Philosophy,94434,A,LEC,M,35,34,10:40,11:30,M  W  F   ,VOTEY,367,Terence,Cuneo,3
PHIL,102,History of Modern Philosophy,94436,B,LEC,M,30,30,11:45,12:35,M  W  F   ,70S WL,109,Terence,Cuneo,3
PHIL,121,D2: Chinese Philosophy I,91721,A,LEC,M,35,35,12:50,13:40,M  W  F   ,70S WL,109,Sin,Chan,3
PHIL,195,Philosophy of Action,94584,A,LEC,M,30,27,15:00,15:50,M  W  F   ,70S WL,109,Randall,Harp,3
PHIL,197,Readings & Research,91783,A,TD,M,5,1,TBA,,       ,,,William,Mann,1 to 6
PHIL,235,Topics in Phil of Religion,91738,A,LEC,M,30,31,16:05,19:05,M       ,70S WL,109,Terence,Cuneo,3
PHIL,241,Contemp Social&Political Phil,93981,A,LEC,M,30,30,12:50,15:50,  W     ,L/L-A,A161,Arthur,Kuflik,3
PHIL,297,Adv Readings & Research,91784,A,TD,M,5,5,TBA,,       ,,,William,Mann,1 to 6
PHRM,201,Introduction to Pharmacology,90096,A,LEC,M,50,33,15:30,16:45, T  R    ,MEDED,300,Karen,Lounsbury,3
PHRM,303,Pharmacological Techniques,90099,A,TD,M,10,8,TBA,,       ,,,Anthony,Morielli,2
PHRM,372,Special Topics,90101,A,LEC,M,10,0,TBA,,       ,,,Karen,Lounsbury,1 to 3
PHRM,372,Special Topics,94609,B,LEC,M,12,4,15:30,17:30,  W     ,MEDED,308,Karen,Lounsbury,1 to 3
PHRM,373,Readings in Pharmacology,90102,A,TD,M,30,0,TBA,,       ,,,Anthony,Morielli,2
PHRM,381,Seminar,90103,A,SEM,M,20,5,11:00,12:00,   R    ,HSRF,300,Karen,Lounsbury,1
PHRM,391,Master's Thesis Research,90105,A,TD,M,50,0,TBA,,       ,,,Anthony,Morielli,1 to 12
PHRM,491,Doctoral Dissertation Research,90106,A,TD,M,50,2,TBA,,       ,,,Anthony,Morielli,1 to 12
PHYS,011,Elementary Physics,91511,A,LEC,M,156,164,13:55,14:45,M  W  F   ,ANGELL,B106,Jason,Pepe,4
PHYS,011,Elementary Physics,91532,A01,REC,M,17,19,08:30,09:45,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,91535,A02,REC,M,18,20,10:00,11:15,   R    ,COOK,A402,Jason,Pepe,0
